,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bratislava - Čunovo,,567,4,87,0,4,64,54,2,0,1,2,126,30,1,2,0,80,11,8,0,3,1,67,3,9,7,1
,,,"0,70","15,34","0,00","0,70","11,28","9,52","0,35","0,00","0,17","0,35","22,22","5,29","0,17","0,35","0,00","14,10","1,94","1,41","0,00","0,52","0,17","11,81","0,52","1,58","1,23","0,17"
Bratislava - Devín,,716,4,76,0,36,64,116,0,0,3,8,231,21,1,2,0,37,3,13,0,1,0,95,4,0,1,0
,,,"0,55","10,61","0,00","5,02","8,93","16,20","0,00","0,00","0,41","1,11","32,26","2,93","0,13","0,27","0,00","5,16","0,41","1,81","0,00","0,13","0,00","13,26","0,55","0,00","0,13","0,00"
Bratislava - Devínska Nová Ves,,8 515,26,737,7,343,949,1 397,44,4,67,107,2 528,272,43,48,4,545,103,28,2,45,13,1 060,18,14,101,10
,,,"0,30","8,65","0,08","4,02","11,14","16,40","0,51","0,04","0,78","1,25","29,68","3,19","0,50","0,56","0,04","6,40","1,20","0,32","0,02","0,52","0,15","12,44","0,21","0,16","1,18","0,11"
Bratislava - Dúbravka,,18 591,58,1 733,23,622,1 682,2 461,78,8,138,171,6 497,541,93,81,2,1 217,248,73,16,90,25,2 484,31,74,125,20
,,,"0,31","9,32","0,12","3,34","9,04","13,23","0,41","0,04","0,74","0,91","34,94","2,91","0,50","0,43","0,01","6,54","1,33","0,39","0,08","0,48","0,13","13,36","0,16","0,39","0,67","0,10"
Bratislava - Jarovce,,928,1,98,1,14,91,110,10,0,1,6,232,29,7,2,1,136,11,3,2,1,1,161,1,5,2,2
,,,"0,10","10,56","0,10","1,50","9,80","11,85","1,07","0,00","0,10","0,64","25,00","3,12","0,75","0,21","0,10","14,65","1,18","0,32","0,21","0,10","0,10","17,34","0,10","0,53","0,21","0,21"
Bratislava - Karlova Ves,,19 543,42,1 986,32,616,1 903,3 277,85,12,146,150,5 484,594,71,56,6,1 477,254,67,12,104,25,2 878,44,77,126,19
,,,"0,21","10,16","0,16","3,15","9,73","16,76","0,43","0,06","0,74","0,76","28,06","3,03","0,36","0,28","0,03","7,55","1,29","0,34","0,06","0,53","0,12","14,72","0,22","0,39","0,64","0,09"
Bratislava - Lamač,,4 071,14,467,1,181,371,544,13,1,25,54,1 312,135,10,6,0,275,43,26,0,15,8,513,8,20,24,5
,,,"0,34","11,47","0,02","4,44","9,11","13,36","0,31","0,02","0,61","1,32","32,22","3,31","0,24","0,14","0,00","6,75","1,05","0,63","0,00","0,36","0,19","12,60","0,19","0,49","0,58","0,12"
Bratislava - Nové Mesto,,21 863,59,2 191,26,767,1 997,3 185,103,13,176,138,6 586,596,114,88,7,1 649,246,118,10,82,38,3 369,28,124,134,19
,,,"0,26","10,02","0,11","3,50","9,13","14,56","0,47","0,05","0,80","0,63","30,12","2,72","0,52","0,40","0,03","7,54","1,12","0,53","0,04","0,37","0,17","15,40","0,12","0,56","0,61","0,08"
Bratislava - Petržalka,,59 967,194,5 000,72,2 181,5 786,8 643,342,46,452,675,19 205,2 065,350,246,18,4 252,911,220,56,389,112,7 518,129,392,652,61
,,,"0,32","8,33","0,12","3,63","9,64","14,41","0,57","0,07","0,75","1,12","32,02","3,44","0,58","0,41","0,03","7,09","1,51","0,36","0,09","0,64","0,18","12,53","0,21","0,65","1,08","0,10"
Bratislava - Podunajské Biskupice,,10 766,21,725,7,403,850,1 206,43,11,80,145,3 351,291,33,35,1,1 742,166,41,5,59,13,1 149,21,255,94,19
,,,"0,19","6,73","0,06","3,74","7,89","11,20","0,39","0,10","0,74","1,34","31,12","2,70","0,30","0,32","0,00","16,18","1,54","0,38","0,04","0,54","0,12","10,67","0,19","2,36","0,87","0,17"
Bratislava - Rača,,11 235,36,1 010,10,530,1 134,1 405,40,9,124,107,4 090,329,50,88,4,556,157,66,6,40,12,1 271,23,36,98,4
,,,"0,32","8,98","0,08","4,71","10,09","12,50","0,35","0,08","1,10","0,95","36,40","2,92","0,44","0,78","0,03","4,94","1,39","0,58","0,05","0,35","0,10","11,31","0,20","0,32","0,87","0,03"
Bratislava - Rusovce,,1 628,4,157,0,45,149,203,14,0,2,11,373,23,1,7,1,241,29,6,2,7,3,315,0,19,15,1
,,,"0,24","9,64","0,00","2,76","9,15","12,46","0,85","0,00","0,12","0,67","22,91","1,41","0,06","0,42","0,06","14,80","1,78","0,36","0,12","0,42","0,18","19,34","0,00","1,16","0,92","0,06"
Bratislava - Ružinov,,41 494,110,4 182,49,1 324,3 527,6 192,145,27,255,295,12 764,1 069,202,161,9,3 231,484,219,37,228,63,6 214,82,258,323,44
,,,"0,26","10,07","0,11","3,19","8,50","14,92","0,34","0,06","0,61","0,71","30,76","2,57","0,48","0,38","0,02","7,78","1,16","0,52","0,08","0,54","0,15","14,97","0,19","0,62","0,77","0,10"
Bratislava - Staré Mesto,,24 479,53,3 013,36,653,2 198,3 951,75,18,157,137,5 840,666,70,73,3,2 162,267,111,6,71,28,4 495,32,179,157,28
,,,"0,21","12,30","0,14","2,66","8,97","16,14","0,30","0,07","0,64","0,55","23,85","2,72","0,28","0,29","0,01","8,83","1,09","0,45","0,02","0,29","0,11","18,36","0,13","0,73","0,64","0,11"
Bratislava - Vajnory,,2 654,2,311,3,125,278,361,15,0,10,24,857,79,6,15,1,96,30,5,0,14,2,389,9,5,14,3
,,,"0,07","11,71","0,11","4,70","10,47","13,60","0,56","0,00","0,37","0,90","32,29","2,97","0,22","0,56","0,03","3,61","1,13","0,18","0,00","0,52","0,07","14,65","0,33","0,18","0,52","0,11"
Bratislava - Vrakuňa,,9 300,36,676,13,332,805,1 291,49,5,67,119,3 083,257,39,47,8,817,144,45,5,50,13,1 194,18,88,87,12
,,,"0,38","7,26","0,13","3,56","8,65","13,88","0,52","0,05","0,72","1,27","33,15","2,76","0,41","0,50","0,08","8,78","1,54","0,48","0,05","0,53","0,13","12,83","0,19","0,94","0,93","0,12"
Bratislava - Záhorská Bystrica,,1 974,4,204,1,68,182,302,6,2,5,14,595,55,9,8,0,101,23,11,2,9,2,348,5,2,15,1
,,,"0,20","10,33","0,05","3,44","9,21","15,29","0,30","0,10","0,25","0,70","30,14","2,78","0,45","0,40","0,00","5,11","1,16","0,55","0,10","0,45","0,10","17,62","0,25","0,10","0,75","0,05"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Bratislava,,238 291,668,22 653,281,8 244,22 030,34 698,1 064,156,1 709,2 163,73 154,7 052,1 100,965,65,18 614,3 130,1 060,161,1 208,359,33 520,456,1 557,1 975,249
,,,"0,28","9,50","0,11","3,45","9,24","14,56","0,44","0,06","0,71","0,90","30,69","2,95","0,46","0,40","0,02","7,81","1,31","0,44","0,06","0,50","0,15","14,06","0,19","0,65","0,82","0,10"
Borinka,,338,0,52,0,9,36,51,1,0,0,1,114,9,0,2,0,27,4,1,0,3,0,24,1,1,0,2
,,,"0,00","15,38","0,00","2,66","10,65","15,08","0,29","0,00","0,00","0,29","33,72","2,66","0,00","0,59","0,00","7,98","1,18","0,29","0,00","0,88","0,00","7,10","0,29","0,29","0,00","0,59"
Gajary,,1 168,5,36,2,64,121,39,4,0,4,11,686,16,8,14,0,8,25,12,0,5,2,99,2,0,5,0
,,,"0,42","3,08","0,17","5,47","10,35","3,33","0,34","0,00","0,34","0,94","58,73","1,36","0,68","1,19","0,00","0,68","2,14","1,02","0,00","0,42","0,17","8,47","0,17","0,00","0,42","0,00"
Jablonové,,513,2,51,0,9,78,44,2,0,9,9,234,9,0,2,0,9,14,0,0,3,1,32,0,0,4,1
,,,"0,38","9,94","0,00","1,75","15,20","8,57","0,38","0,00","1,75","1,75","45,61","1,75","0,00","0,38","0,00","1,75","2,72","0,00","0,00","0,58","0,19","6,23","0,00","0,00","0,77","0,19"
Jakubov,,735,2,42,1,46,83,40,4,0,1,3,394,6,3,8,3,15,14,2,0,0,1,50,1,1,13,2
,,,"0,27","5,71","0,13","6,25","11,29","5,44","0,54","0,00","0,13","0,40","53,60","0,81","0,40","1,08","0,40","2,04","1,90","0,27","0,00","0,00","0,13","6,80","0,13","0,13","1,76","0,27"
Kostolište,,584,1,74,0,23,84,66,1,0,2,4,232,9,1,2,1,11,11,3,0,5,1,47,1,0,4,1
,,,"0,17","12,67","0,00","3,93","14,38","11,30","0,17","0,00","0,34","0,68","39,72","1,54","0,17","0,34","0,17","1,88","1,88","0,51","0,00","0,85","0,17","8,04","0,17","0,00","0,68","0,17"
Kuchyňa,,757,2,60,2,38,97,35,3,0,3,14,393,10,3,5,0,21,7,1,0,3,4,52,0,0,4,0
,,,"0,26","7,92","0,26","5,01","12,81","4,62","0,39","0,00","0,39","1,84","51,91","1,32","0,39","0,66","0,00","2,77","0,92","0,13","0,00","0,39","0,52","6,86","0,00","0,00","0,52","0,00"
Láb,,739,0,52,1,35,128,58,2,1,4,11,313,7,6,3,0,16,14,4,0,4,2,68,2,0,8,0
,,,"0,00","7,03","0,13","4,73","17,32","7,84","0,27","0,13","0,54","1,48","42,35","0,94","0,81","0,40","0,00","2,16","1,89","0,54","0,00","0,54","0,27","9,20","0,27","0,00","1,08","0,00"
Lozorno,,1 181,6,139,1,51,161,116,7,0,12,24,382,15,4,3,0,34,14,4,0,4,2,181,4,0,12,5
,,,"0,50","11,76","0,08","4,31","13,63","9,82","0,59","0,00","1,01","2,03","32,34","1,27","0,33","0,25","0,00","2,87","1,18","0,33","0,00","0,33","0,16","15,32","0,33","0,00","1,01","0,42"
Malacky,,8 374,28,589,2,238,1 277,824,42,2,65,112,3 645,138,91,54,0,239,136,31,4,28,22,697,55,2,47,6
,,,"0,33","7,03","0,02","2,84","15,24","9,83","0,50","0,02","0,77","1,33","43,52","1,64","1,08","0,64","0,00","2,85","1,62","0,37","0,04","0,33","0,26","8,32","0,65","0,02","0,56","0,07"
Malé Leváre,,457,2,34,2,13,45,15,1,0,1,8,274,5,1,2,0,8,9,2,0,1,1,29,1,0,3,0
,,,"0,43","7,43","0,43","2,84","9,84","3,28","0,21","0,00","0,21","1,75","59,95","1,09","0,21","0,43","0,00","1,75","1,96","0,43","0,00","0,21","0,21","6,34","0,21","0,00","0,65","0,00"
Marianka,,750,3,93,0,22,78,137,1,0,3,3,245,14,2,0,0,31,6,1,0,5,1,99,0,0,5,1
,,,"0,40","12,40","0,00","2,93","10,40","18,26","0,13","0,00","0,40","0,40","32,66","1,86","0,26","0,00","0,00","4,13","0,80","0,13","0,00","0,66","0,13","13,20","0,00","0,00","0,66","0,13"
Pernek,,414,2,19,0,27,63,28,1,0,5,2,199,2,1,4,0,5,3,14,0,4,1,32,0,0,2,0
,,,"0,48","4,58","0,00","6,52","15,21","6,76","0,24","0,00","1,20","0,48","48,06","0,48","0,24","0,96","0,00","1,20","0,72","3,38","0,00","0,96","0,24","7,72","0,00","0,00","0,48","0,00"
Plavecké Podhradie,,339,1,45,1,8,48,22,0,0,0,1,147,3,2,1,0,5,5,1,0,1,2,46,0,0,0,0
,,,"0,29","13,27","0,29","2,35","14,15","6,48","0,00","0,00","0,00","0,29","43,36","0,88","0,58","0,29","0,00","1,47","1,47","0,29","0,00","0,29","0,58","13,56","0,00","0,00","0,00","0,00"
Plavecký Mikuláš,,364,0,22,0,8,72,11,3,0,0,15,200,3,1,2,0,2,3,1,0,3,1,15,2,0,0,0
,,,"0,00","6,04","0,00","2,19","19,78","3,02","0,82","0,00","0,00","4,12","54,94","0,82","0,27","0,54","0,00","0,54","0,82","0,27","0,00","0,82","0,27","4,12","0,54","0,00","0,00","0,00"
Plavecký Štvrtok,,919,6,64,0,44,128,88,4,0,2,34,399,17,19,0,12,22,8,1,1,4,3,57,3,0,3,0
,,,"0,65","6,96","0,00","4,78","13,92","9,57","0,43","0,00","0,21","3,69","43,41","1,84","2,06","0,00","1,30","2,39","0,87","0,10","0,10","0,43","0,32","6,20","0,32","0,00","0,32","0,00"
Rohožník,,1 428,8,86,1,63,237,77,5,0,5,33,671,18,8,9,0,35,33,2,1,10,6,105,3,1,9,2
,,,"0,56","6,02","0,07","4,41","16,59","5,39","0,35","0,00","0,35","2,31","46,98","1,26","0,56","0,63","0,00","2,45","2,31","0,14","0,07","0,70","0,42","7,35","0,21","0,07","0,63","0,14"
Sološnica,,688,1,80,0,31,86,42,2,0,1,12,341,9,2,2,0,18,8,2,1,1,1,45,0,0,2,1
,,,"0,14","11,62","0,00","4,50","12,50","6,10","0,29","0,00","0,14","1,74","49,56","1,30","0,29","0,29","0,00","2,61","1,16","0,29","0,14","0,14","0,14","6,54","0,00","0,00","0,29","0,14"
Studienka,,764,6,49,1,23,100,51,2,0,6,14,378,19,5,14,0,17,17,2,0,3,5,49,0,0,2,1
,,,"0,78","6,41","0,13","3,01","13,08","6,67","0,26","0,00","0,78","1,83","49,47","2,48","0,65","1,83","0,00","2,22","2,22","0,26","0,00","0,39","0,65","6,41","0,00","0,00","0,26","0,13"
Stupava,,4 595,25,451,6,140,584,649,21,5,22,62,1 567,112,20,32,0,182,84,10,1,31,12,543,3,2,22,9
,,,"0,54","9,81","0,13","3,04","12,70","14,12","0,45","0,10","0,47","1,34","34,10","2,43","0,43","0,69","0,00","3,96","1,82","0,21","0,02","0,67","0,26","11,81","0,06","0,04","0,47","0,19"
Suchohrad,,323,5,16,1,21,47,17,0,0,0,5,170,0,1,2,0,8,6,1,0,3,0,16,1,0,2,1
,,,"1,54","4,95","0,30","6,50","14,55","5,26","0,00","0,00","0,00","1,54","52,63","0,00","0,30","0,61","0,00","2,47","1,85","0,30","0,00","0,92","0,00","4,95","0,30","0,00","0,61","0,30"
Veľké Leváre,,1 512,7,141,3,42,190,95,11,0,6,33,754,15,8,12,3,29,22,6,0,4,3,110,3,0,13,2
,,,"0,46","9,32","0,19","2,77","12,56","6,28","0,72","0,00","0,39","2,18","49,86","0,99","0,52","0,79","0,19","1,91","1,45","0,39","0,00","0,26","0,19","7,27","0,19","0,00","0,85","0,13"
Vysoká pri Morave,,955,8,44,0,44,87,72,7,0,4,12,512,21,3,3,1,23,13,1,0,3,1,82,2,0,11,1
,,,"0,83","4,60","0,00","4,60","9,10","7,53","0,73","0,00","0,41","1,25","53,61","2,19","0,31","0,31","0,10","2,40","1,36","0,10","0,00","0,31","0,10","8,58","0,20","0,00","1,15","0,10"
Záhorie (vojenský obvod),,71,0,3,0,4,3,4,0,0,0,1,34,0,5,5,0,0,2,3,0,0,0,6,0,0,1,0
,,,"0,00","4,22","0,00","5,63","4,22","5,63","0,00","0,00","0,00","1,40","47,88","0,00","7,04","7,04","0,00","0,00","2,81","4,22","0,00","0,00","0,00","8,45","0,00","0,00","1,40","0,00"
Záhorská Ves,,584,1,23,0,17,78,46,3,0,1,13,339,3,2,0,1,8,16,2,0,2,0,23,1,0,5,0
,,,"0,17","3,93","0,00","2,91","13,35","7,87","0,51","0,00","0,17","2,22","58,04","0,51","0,34","0,00","0,17","1,36","2,73","0,34","0,00","0,34","0,00","3,93","0,17","0,00","0,85","0,00"
Závod,,1 153,1,89,1,40,119,69,3,0,7,14,689,12,6,3,0,15,25,2,0,1,2,46,1,1,7,0
,,,"0,08","7,71","0,08","3,46","10,32","5,98","0,26","0,00","0,60","1,21","59,75","1,04","0,52","0,26","0,00","1,30","2,16","0,17","0,00","0,08","0,17","3,98","0,08","0,08","0,60","0,00"
Zohor,,1 499,6,212,0,70,195,111,10,1,8,22,612,28,13,4,3,27,26,1,0,6,2,129,1,0,8,4
,,,"0,40","14,14","0,00","4,66","13,00","7,40","0,66","0,06","0,53","1,46","40,82","1,86","0,86","0,26","0,20","1,80","1,73","0,06","0,00","0,40","0,13","8,60","0,06","0,00","0,53","0,26"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Malacky,,31 204,128,2 566,25,1 130,4 225,2 807,140,9,171,473,13 924,500,215,188,24,815,525,110,8,137,76,2 682,87,8,192,39
