Bratislavský kraj,,
,,
Bratislava I,,
,,
Peter Osuský,OKS,1 683
Emil Bartko,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 441
Peter Gandl,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 428
Dušan Jarjabek,"HZD,SF,SMER",1 141
Halina Ležovičová,KDH,1 087
Ondrej Dostál,OKS,1 008
Martin Stolár,"ANO,DS,SDKÚ,SMK-MKP,SZS",911
Miroslav Vetrík,KDH,886
Ladislav Hrnek,"HZD,SF,SMER",660
Miroslav Gálik,"HZD,SF,SMER",650
Andrej Hryc,"HZD,SF,SMER",644
Katarína Blašková,"ĽS-HZDS,P SNS,ZSNS",552
Peter Zeman,VPRED,527
Dušan Franců,OKS,469
Richard Brestenský,"ĽS-HZDS,P SNS,ZSNS",454
Miroslav Kollár,NEKA,440
Ján Mlynek,"ĽS-HZDS,P SNS,ZSNS",420
Eugen Fábry,KSS,390
Oľga Fábryová,KSS,383
Michal Ambrovič,Misia 21,371
Robert Krajňák,VPRED,279
Lukáš Fila,OL,255
Henrich Offermann,OL,255
Ivan Dutka,SNS,234
Juraj Lustoň,OL,226
Michal Kovács,KSS,222
Vladimír Kupčo,OL,214
Janka Löfflerová,ĽS,210
Soňa Mellová,SNS,175
Boris Ferjenčík,SĽS,118
Jozef Sivák,ĽS,101
Jozef Dobiaš,SĽS,97
Rudolf Martančík,ÚSVIT,57
Viera Lukáčová,ĽS,48
Alexander Duna,ĽS,39
,,
Bratislava II,,
,,
Ildikó Csibová,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 438
Eva Guldanová,KDH,2 422
Ivan Boháč,"HZD,SF,SMER",2 236
Vlastibor Minarovjech,"HZD,SF,SMER",2 210
Jozef Závodský,KDH,2 147
Milan Šindler,KDH,2 060
Jozef Milko,"HZD,SF,SMER",2 021
Monika Kuhajdová,KDH,1 991
František Dej,"HZD,SF,SMER",1 890
František Okruhlica,KDH,1 861
Slavomír Drozd,"HZD,SF,SMER",1 790
Jarmila Tvrdá,KDH,1 778
Svetlana Gavorová,"HZD,SF,SMER",1 765
Otto Galis,"HZD,SF,SMER",1 762
Jaroslav Nema,KDH,1 755
Dušan Pekár,KDH,1 674
Michal Pilka,KDH,1 581
Roman Jankovič,"HZD,SF,SMER",1 515
Daniela Falťanová,NEKA,1 484
Peter Adamec,"ĽS-HZDS,P SNS,ZSNS",1 411
Marián Ševčík,"ĽS-HZDS,P SNS,ZSNS",1 271
Marta Tomašovičová,"ĽS-HZDS,P SNS,ZSNS",1 206
Roman Blanár,"ĽS-HZDS,P SNS,ZSNS",1 069
Martina Komorníková,"ĽS-HZDS,P SNS,ZSNS",1 065
Andrea Kováčová,"ĽS-HZDS,P SNS,ZSNS",1 030
Zdenka Kovalčíková,VPRED,962
Emil Hostačný,"ĽS-HZDS,P SNS,ZSNS",903
Drahomíra Kňažníková,VPRED,823
Jozef Valovič,SNS,823
Ivan Ryšavý,"ĽS-HZDS,P SNS,ZSNS",797
Matúš Pošvanc,VPRED,787
Viliam Búr,OL,780
Ondrej Vesteg,"ĽS-HZDS,P SNS,ZSNS",780
Oľga Kubalová,OKS,775
Katarína Höesová,VPRED,754
Iveta Fraňová,KSS,735
Pavol Kočiš,KSS,706
Jozef Adámek,SNS,698
Ján Rakús,KSS,652
Silvia Mrázová,SNS,645
Rudolf Bednárik,KSS,642
Stanislav Fořt,VPRED,608
Eduard Púčik,SNS,567
Marian Valach,VPRED,559
Pavol Dzurilla,Misia 21,530
Ignác Holub,KSS,512
Ivan Benďák,OL,472
Andrea Plávková,OL,467
Ivan Gerula,SĽS,432
Štefan Kopčan,KSS,425
Viliam Persy,KSS,415
Alojz Heštera,SNS,379
Ladislav Roman,KSS,336
Stanislav Pánis,SNJ,335
Emil Ulehla,KSS,329
Milan Mocko,ÚSVIT,235
Dušan Petrovič,ÚSVIT,223
