Bratislavský kraj,,
,,
Bratislava I ,,
,,
Marta Černá,NF,3 227
Peter Tatár,OKS,1 820
Andrej Petrek,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 782
Peter Čiernik,KDH,1 697
,,
Bratislava II ,,
,,
Viera Čerňanská,"ANO,DS,SDKÚ,SMK-MKP,SZS",3 175
Dušan Hruška,"ANO,DS,SDKÚ,SMK-MKP,SZS",3 081
Olívia Wursterová,"ANO,DS,SDKÚ,SMK-MKP,SZS",3 027
Ivana Kniežová,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 948
Oto Nevický,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 903
Martin Kuruc,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 897
Eva Mária Harvanová,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 824
Monika Beňová,"HZD,SF,SMER",2 777
Valentín Mikuš,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 654
,,
Bratislava III ,,
,,
Milada Dobrotková,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 309
Dušan Galis,"HZD,SF,SMER",1 883
Tomáš Korček,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 862
Veronika Točková,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 719
Peter Flaškár,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 603
,,
Bratislava IV ,,
,,
Peter Dubček,"HZD,SF,SMER",3 810
Marta Čarnogurská,KDH,2 709
Bystrík Hollý,KDH,2 637
Iveta Hanulíková,"HZD,SF,SMER",2 471
Branislav Záhradník,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 283
Miroslav Encinger,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 177
Jozef Hrabina,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 147
Peter Šramko,KDH,2 000
,,
Bratislava V ,,
,,
Milan Ftáčnik,"HZD,SF,SMER",4 725
Róbert Kaliňák,"HZD,SF,SMER",4 400
Ľudmila Farkašovská,"HZD,SF,SMER",3 639
František Šebej,OKS,2 993
Alexander Rozin,"HZD,SF,SMER",2 553
Ján Kotuľa,KDH,2 450
Ladislav Snopko,NF,2 429
Juraj Plechlo,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 335
Jozef Brhel,"HZD,SF,SMER",2 254
Karol Pastor,KDH,2 194
,,
Malacky ,,
,,
Marián Haramia,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 377
Pavol Dubček,"HZD,SF,SMER",1 746
Adriana Foltýnová,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 320
Robert Kazarka,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 057
Jozef Ondrejka,NEKA,1 038
,,
Pezinok ,,
,,
Oliver Solga,NEKA,2 693
Jozef Chynoranský,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 741
Richard Demovič,"HZD,SF,SMER",1 424
Vladimír Medlen,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 134
Jana Pešková,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 110
,,
Senec ,,
,,
Gabriel Agárdy,"ANO,DS,SDKÚ,SMK-MKP,SZS",2 016
Rezsö Duray,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 792
Imrich Füle,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 628
Štefan Pomichal,"ANO,DS,SDKÚ,SMK-MKP,SZS",1 584
,,
Trnavský kraj,,
,,
Dunajská Streda ,,
,,
Pál Keszegh,SMK-MKP,7 089
József Kvarda,SMK-MKP,6 990
László Bacsó,SMK-MKP,6 941
Károly Domsitz,SMK-MKP,6 869
Dénes Miklós,SMK-MKP,6 310
Attila Lázok,SMK-MKP,6 026
Péter Pázmány,SMK-MKP,5 882
Ágnes Óváry,SMK-MKP,5 864
,,
Galanta ,,
,,
László Biró,SMK-MKP,4 700
Imre Farkas,SMK-MKP,4 323
László Pék,SMK-MKP,4 231
László Pomothy,SMK-MKP,4 163
Gábor Gál,SMK-MKP,4 064
Béla Zsille,SMK-MKP,3 979
Gábor Pallya,SMK-MKP,3 894
,,
Hlohovec ,,
,,
Ján Dlhopolček,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 683
Milan Domaracký,"ĽB,ĽS-HZDS,P SNS,ZSNS",1 502
Alena Jelušová,NEKA,1 453
,,
Piešťany ,,
,,
Peter Ottinger,"DS,KDH,SDKÚ",2 010
Iveta Babičová,"DS,KDH,SDKÚ",1 827
Jozef Bolješik,"DS,KDH,SDKÚ",1 779
Remo Cicutto,NEKA,1 743
Ivan Borovský,"ANO,HZD,SF,SMER",1 708
,,
Senica ,,
,,
Štefan Mikula,"DS,KDH,SDKÚ",1 544
Ľubomír Parízek,NEKA,1 422
Anton Cibula,"DS,KDH,SDKÚ",1 237
