Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
Marta Černá,NF,2 298, 
Jaroslav Ježek,"KDH, OKS, SDKÚ-DS, SMK-MKP",1 518, 
Miroslava Babčanová,"HZD, ĽS-HZDS, SMER, SZS",1 441, 
Dušan Jarjabek,"HZD, ĽS-HZDS, SMER, SZS",1 410, 
Juraj Droba,SaS,1 281, 
Peter Tatár,MOST-HÍD,1 268, 
Karol Rebro,SaS,868, 
Karol Kállay,OK,805, 
Wanda Hrycová,SaS,759, 
Oskár Elschek,NEKA,636, 
Matej Vagač,NF,549, 
Jana Španková,NEKA,538, 
Marta Šteffeková,OK,514, 
Zita Furková,"ND, SF",445, 
Gabriela Smolíková,KDS,314, 
Tibor Molčan,OK,310, 
Vlado Černý,"ND, SF",308, 
Peter Smrek,"DS, DÚ",291, 
Jana Garvoldtová,MOST-HÍD,217, 
Marcel Dzurilla,"DS, DÚ",203, 
Elena Jágerská,"ND, SF",185, 
Štefan Šinka,MOST-HÍD,179, 
Martin Stolár,SZ,169, 
Oľga Fábryová,KSS,155, 
Ivan Dutka,SNS,151, 
František Valašek,EDS,149, 
Božena Marienková,SZ,147, 
Andrea Mrázová,SNS,134, 
Oľga Paučová,SNS,116, 
Milan Lopašovský,EDS,106, 
Katarína Čentéšová,EDS,105, 
Eva Šestáková,NF,100, 
Juraj Húska,SDĽ,54, 
Juraj Janošovský,ÚSVIT,49, 
Vladimír Pekárik,SNJ,40, 
Miroslav Šuňal,SNJ,31, 
Rudolf Martančík,ÚSVIT,16, 
,,, 
Bratislava - obvod č. 2,,, 
,,, 
Boris Šramko,"KDH, OKS, SDKÚ-DS, SMK-MKP",3 860, 
Eva Mária Harvanová,"KDH, OKS, SDKÚ-DS, SMK-MKP",3 373, 
Ivan Boháč,"HZD, ĽS-HZDS, SMER, SZS",3 022, 
Svetlana Gavorová,"HZD, ĽS-HZDS, SMER, SZS",2 543, 
Otto Galis,"HZD, ĽS-HZDS, SMER, SZS",2 500, 
Roman Blanár,"HZD, ĽS-HZDS, SMER, SZS",2 446, 
Zdenka Kramplová,NEKA,1 941, 
Marek Gabonay,SaS,1 836, 
Roman Foltín,SaS,1 771, 
Peter Wachter,SaS,1 725, 
Stanislav Fořt,SaS,1 699, 
Jozef Barmoš,OK,1 593, 
Dušan Tittel,"ND, SF",1 506, 
Vladimír Sloboda,SaS,1 490, 
Martin Kuruc,OK,1 267, 
Martin Klementis,SaS,1 257, 
Ladislav Fatura,OK,1 252, 
Dušan Hruška,SZ,1 190, 
Ján Čapkovič,SNS,1 082, 
Zuzana Murárová,OK,1 052, 
Valentín Mikuš,OK,1 037, 
Katarína Šimončičová,NF,800, 
Jozef Grznár,NEKA,774, 
Adrián Arpai,MOST-HÍD,740, 
Robert Müller,MOST-HÍD,677, 
Peter Hríb,"DS, DÚ",649, 
Attila Horváth,MOST-HÍD,646, 
Vladimír Morgoš,OK,627, 
Katarína Ševčíková,MOST-HÍD,574, 
Jozef Adámek,SNS,556, 
Sandra Srholcová,EDS,543, 
Daniel Mikletič,"ND, SF",533, 
Miroslav Sedlák,MOST-HÍD,505, 
Silvia Mrázová,SNS,504, 
Štefan Gašparík,SNS,502, 
Jozef Valovič,SNS,474, 
Tomáš Valenta,MOST-HÍD,438, 
Branislav Porubský,"DS, DÚ",398, 
Vladimir Kokolevsky,"DS, DÚ",385, 
Lenka Vargová,SDĽ,358, 
Eduard Púčik,SNS,348, 
Mária Pajdlhauserová,LS,303, 
Juraj Potúček,KSS,291, 
Milan Urbaník,EDS,269, 
Anna Valentová,RIS,269, 
Ľubica Hlasicová,EDS,232, 
Eugen Mýtnik,KSS,220, 
Milan Nehaj,"ND, SF",183, 
Stanislav Danek,LS,156, 
Jozef Rojko,SNJ,144, 
Karol Hrúza,ÚSVIT,134, 
Anton Prokopius,EDS,116, 
Jaroslav Nahalka,SĽS,109, 
Rudolf Kučera,ÚSVIT,98, 
Václav Kappel,RIS,79, 
,,, 
Bratislava - obvod č. 3,,, 
,,, 
Peter Adamec,"HZD, ĽS-HZDS, SMER, SZS",729, 
Attila Csontos,"KDH, OKS, SDKÚ-DS, SMK-MKP",695, 
František Dej,"HZD, ĽS-HZDS, SMER, SZS",602, 
Ján Duranský,OK,521, 
Juraj Tóth,SaS,355, 
Petr Faktor,OK,260, 
Jarmila Ferančíková,SNS,258, 
Stanislav Baránko,SNS,157, 
Eugen Krajčovič,MOST-HÍD,148, 
Eva Holubová,EDS,95, 
Martin Halás,SDĽ,82, 
Mária Bertóková,RIS,72, 
Pavel Šubert,EDS,64, 
Ivan Blažiček,KSS,48, 
,,, 
Bratislava - obvod č. 4,,, 
,,, 
Petra Masácová,"KDH, OKS, SDKÚ-DS, SMK-MKP",1 815, 
Peter Flaškár,"KDH, OKS, SDKÚ-DS, SMK-MKP",1 747, 
Pavol Dubček,"ND, SF",1 471, 
Robert Mistrík,SaS,1 201, 
Patrick Lutter,"HZD, ĽS-HZDS, SMER, SZS",1 157, 
Dušan Galis,"HZD, ĽS-HZDS, SMER, SZS",1 082, 
Róbert Beňo,MOST-HÍD,1 057, 
Vladimír Klimeš,SaS,764, 
Edward Radzo,SaS,745, 
Jaroslav Paška,SNS,552, 
Jana Budáčová,SZ,432, 
Eduard Daniš,KSS,364, 
Eva Jaššová,SNS,340, 
Iveta Vajdová,MOST-HÍD,323, 
Peter Baran,OK,280, 
Miroslav Goldschmied,OK,260, 
Adrián Kucek,SNS,241, 
Ján Čičmič,OK,209, 
Petra Molnárová,MOST-HÍD,205, 
Jaroslav Málek,"DS, DÚ",159, 
Alena Cingelová,"ND, SF",143, 
Miloš Šebo,EDS,138, 
Miroslav Kohuťár,"ND, SF",101, 
Eva Marčeková,EDS,94, 
Daniela Rymarenková,EDS,68, 
Margita Bartalošová,LS,58, 
Ivan Korbíni,SNJ,33, 
,,, 
Bratislava - obvod č. 5,,, 
,,, 
Juraj Madzin,"HZD, ĽS-HZDS, SMER, SZS",807, 
Zuzana Dzivjaková,"KDH, OKS, SDKÚ-DS, SMK-MKP",773, 
Jozef Mihál,SaS,743, 
Michal Koniar,"KDH, OKS, SDKÚ-DS, SMK-MKP",598, 
Milada Dobrotková,OK,582, 
Jozef Házy,NF,535, 
Peter Pilinský,SZ,483, 
Rafael Rafaj,SNS,471, 
Jozef Bratina,SZ,335, 
Rastislav Žitný,MOST-HÍD,276, 
Peter Šinály,OK,272, 
Ivan Janečka,NF,178, 
Ignác Havran,NEKA,173, 
Milan Jurečka,SNS,107, 
Karol Lysina,MOST-HÍD,106, 
Štefan Piteľ,KSS,91, 
Dušan Konečný,SDĽ,81, 
Jozef Benčič,ÚSVIT,77, 
Pavol Hudec,EDS,75, 
Jaroslav Kuna,EDS,57, 
,,, 
Bratislava - obvod č. 6,,, 
,,, 
Irena Kyrinovičová,"KDH, OKS, SDKÚ-DS, SMK-MKP",2 250, 
Bystrík Hollý,"KDH, OKS, SDKÚ-DS, SMK-MKP",1 990, 
Juraj Petrovič,"KDH, OKS, SDKÚ-DS, SMK-MKP",1 944, 
Milan Galanda,SaS,1 782, 
Daniela Schultzová,"HZD, ĽS-HZDS, SMER, SZS",1 502, 
Ján Černák,"HZD, ĽS-HZDS, SMER, SZS",1 384, 
Robert Harhovský,SaS,1 375, 
Michal Matoušek,SaS,1 177, 
Filip Križan,SaS,1 045, 
Miroslav Encinger,OK,1 017, 
Monika Mannová,NEKA,784, 
Vladimír Mráz,NF,758, 
Ladislav Jaško,NF,749, 
Jozef Hrabina,OK,638, 
Tibor Merva,OK,587, 
Jozef Studenič,SNS,578, 
Martin Bábik,MOST-HÍD,465, 
Ivan Hirländer,SZ,462, 
Jana Gavorníková,SNS,354, 
Jozef Nagy,MOST-HÍD,351, 
Vladimír Dulla,"DS, DÚ",344, 
Jarmila Demková,SNS,343, 
Marián Bóna,MOST-HÍD,340, 
Arpád Jakab,MOST-HÍD,244, 
Mário Michalec,SNS,175, 
Ľubomír Grosman,EDS,151, 
Ľubomír Farenzena,EDS,149, 
Milan Králik,EDS,130, 
Pavel Kóňa,EDS,120, 
Oľga Bobovnícka,SNJ,98, 
Mário Lengyel,SDĽ,87, 
Emil Šúchal,SDĽ,82, 
,,, 
Bratislava - obvod č. 7,,, 
,,, 
Peter Hanulík,"HZD, ĽS-HZDS, SMER, SZS",1 784, 
Matilda Križanová,"HZD, ĽS-HZDS, SMER, SZS",1 743, 
Boris Hradecký,"HZD, ĽS-HZDS, SMER, SZS",1 396, 
Marian Kollár,NEKA,1 000, 
Jozef Havrilla,SaS,836, 
Pavol Serej,SaS,834, 
Dagmar Kišová,SaS,594, 
Peter Čecho,OK,467, 
Natália Gálisová,NEKA,417, 
Ján Kučera,"ND, SF",365, 
Eva Jandošová,OK,356, 
Peter Grom,SNS,354, 
Eduard Pokorný,SNS,343, 
Zuzana Fialová,MOST-HÍD,342, 
Gabriela Bizoňová,MOST-HÍD,329, 
Pavol Králik,OK,324, 
Rudolf Požgay,NEKA,319, 
Dušan Mikuláš,NEKA,293, 
Peter Fischer,MOST-HÍD,276, 
Matej Hlôška,SZ,224, 
Ľubomír Nerušil,SNS,208, 
Emil Gluch,KDS,165, 
Igor Gajdoš,SDĽ,160, 
Mária Mäsiarová,EDS,159, 
Mária Lukáčová,KDS,154, 
Stanislav Pánis,SNJ,126, 
Ladislav Bacigal,EDS,111, 
Juraj Pravda,"ND, SF",100, 
Milan Golský,SNJ,94, 
Andrej Mesiarik,EDS,69, 
Štefan Lopušný,SNJ,32, 
,,, 
Bratislava - obvod č. 8,,, 
,,, 
Zuzana Martináková,"ND, SF",3 396, 
Ľudovít Hanák,"KDH, OKS, SDKÚ-DS, SMK-MKP",3 162, 
Marian Grexa,SaS,2 676, 
Janka Sulíková,SaS,2 321, 
Martin Chren,SaS,2 242, 
Ľudmila Farkašovská,"ND, SF",2 218, 
Elena Pätoprstá,"DS, DÚ",2 149, 
Viliam Jasaň,"HZD, ĽS-HZDS, SMER, SZS",2 087, 
