Bratislavský kraj,,, 
,,, 
Bratislava - obvod č. 1,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Martin Borguľa,2 310, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Magdaléna Vášáryová,3 292, 
,Ondrej Dostál,2 928, 
,,, 
Bratislava - obvod č. 2,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Monika Flašíková - Beňová,4 659, 
,Slavomír Drozd,4 456, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Dušan Pekár,4 318, 
,František Stano,4 178, 
,Ivo Nesrovnal,4 069, 
,Zuzana Schwartzová,4 032, 
,,, 
Bratislava - obvod č. 3,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Olívia Falanga Wurster,836, 
MOST-HÍD,Alžbeta Ožvaldová,1 383, 
,,, 
Bratislava - obvod č. 4,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Richard Frimmel,2 077, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Ružena Apalovičová,2 240, 
NEKA,Rudolf Kusý,2 728, 
,,, 
Bratislava - obvod č. 5,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Ján Zvonár,869, 
SaS,Anna Zemanová,856, 
,,, 
Bratislava - obvod č. 6,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Peter Dubček,2 565, 
,Iveta Hanulíková,2 394, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Martin Berta,2 451, 
OK,Branislav Záhradník,2 749, 
,,, 
Bratislava - obvod č. 7,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Martin Zaťovič,3 013, 
,Milan Trstenský,2 622, 
,Peter Šramko,2 322, 
,,, 
Bratislava - obvod č. 8,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Milan Ftáčnik,6 080, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Ladislav Snopko,5 643, 
,František Šebej,5 590, 
,Viera Kimerlingová,4 195, 
,Iveta Plšeková,3 818, 
,Peter Mach,3 598, 
,Karol Pastor,3 574, 
,Peter Guttman,3 485, 
,,, 
Bratislava - obvod č. 9,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Jozef Ondrejka,1 523, 
,Ladislav Balla,807, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Marián Haramia,1 847, 
,,, 
Bratislava - obvod č. 10,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Vladimír Mikuš,410, 
,,, 
Bratislava - obvod č. 11,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Pavel Slezák,577, 
,,, 
Bratislava - obvod č. 12,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Oliver Solga,2 600, 
,René Bílik,1 479, 
,,, 
Bratislava - obvod č. 13,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Peter Fitz,700, 
,,, 
Bratislava - obvod č. 14,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Miroslav Baxa,646, 
,,, 
Bratislava - obvod č. 15,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Gabriella Németh,641, 
,,, 
Bratislava - obvod č. 16,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",Ladislav Gujber,826, 
,,, 
Bratislava - obvod č. 17,,, 
,,, 
"HZD, ĽS-HZDS, SMER, SZS",Ľubomír Poór,828, 
,,, 
Bratislava - obvod č. 18,,, 
,,, 
"KDH, OKS, SDKÚ-DS, SMK-MKP",István Pomichal,555, 
,,, 
Trnavský kraj,,, 
,,, 
