Bratislavský kraj,,
,,
Volebný obvod č. 1,,
 , , 
Miroslava Babčanová,SMER - SD,"1,298"
Pavol Baxa,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,835"
Ľubomír Boháč,NOVA,"1,352"
Martin Borguľa,SMER - SD,"2,544"
Michal Božík,NÁŠ KRAJ,241
Marta Černá,NF,"3,158"
Miloš Domorák,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,313"
Ondrej Dostál,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,124"
Štefan Fábry,KSS,350
Gábor Grendel,NOVA,"2,458"
Milan Hučko,PD,109
Dušan Jarjabek,SMER - SD,"1,409"
Boris Kábele,ĽS Naše Slovensko,102
Ivan Kičikolev,SMS,116
Gabriel Kollár,SMS,148
Martin Kormúth,SZS,541
Milan Lopašovský,SMS,160
Ján Minarovjech,NP,81
Juraj Miškov,NOVA,"1,651"
Vladimír Palko,KDS,699
Miroslav Šuňal,SNS,174
Dagmar Tkáčová Vanečková,SNS,299
Andrej Trnovec,SĽS,186
Ilja Velich,NP,145
Erika Vincoureková,NP,351
,,
Volebný obvod č. 2,,
 , , 
Tomáš Alscher,SMER - SD,"3,272"
Marián Andel,SNS,"1,334"
Peter Bielik,SĽS,535
Beata Bušová,NP,370
Marián Čemez,SMS,323
Lubomír Čižmár,SMS,401
Miroslav Demko,NÁŠ KRAJ,640
Juraj Droba,NOVA,"3,270"
Slavomír Drozd,SMER - SD,"3,756"
Stanislav Gerbel,SMER - SD,"2,429"
Natália Grausová,SĽS,703
Alexander Haas,ĽS Naše Slovensko,247
Milan Hasák,SMS,242
Rudolf Hauzer,NOVA,"1,995"
Attila Horváth,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","4,381"
Peter Hrapko,SMER - SD,"3,325"
Tomáš Hruška,SNS,890
Natália Hrušková,SNS,692
Kamila Hrušková,SNS,902
Martin Chren,NOVA,"3,176"
Dušan Kečkéš,NP,289
Damián Kováč,NOVA,"1,814"
Rudolf Kučera,SDĽ,242
Viera Kyselicová,SNS,943
Ivan Martyák,SMER - SD,"1,891"
Tomáš Matuška,NP,632
Michal Muránsky,NOVA,"1,852"
Ivo Nesrovnal,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","6,679"
Ivan Parák,MS,361
Ladislav Pecko,SNS,"1,686"
Dušan Pekár,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","7,994"
Lukáš Pokorný,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","5,432"
Miroslav Polner,SĽS,350
Marek Pospíchal,SMER - SD,"2,166"
Eduard Púčik,NaS - ns,512
Zuzana Schwartzová,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","6,088"
Vladimír Sloboda,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","5,372"
Ondrej Sova,NP,562
Sandra Srholcová,EDS,888
Martin Škriňa,NP,390
Marta Švihrová,NOVA,"1,710"
Daniel Talán,SMS,243
Soňa Turi Nagyová,EDS,830
,,
Volebný obvod č. 3,,
 , , 
Peter Adamec,SMER - SD,932
Mária Burianová,NP,225
Miroslav Kohuťár,99%,370
Štefan Maixner,SMER - SD,650
Katarína Matuszná,NEKA,680
Alžbeta Ožvaldová,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,423"
Ildikó Virágová,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,402"
,,
Volebný obvod č. 4,,
 , , 
Peter Ágoston,NEKA,"2,022"
Monika Andresičová,NP,180
Katarína Augustinič,NOVA,"1,633"
Zuzana Bačiak Masaryková,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,624"
Hafez Badeeb,SMS,235
Ján Barczi,SMER - SD,"1,124"
Milan Brachňák,PD,121
Sayon Camara,SMER - SD,589
Pavol Dobročáni,NP,134
Pavol Galamboš,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,452"
Milan Horčičák,MS,212
Daniel Hudec,NOVA,885
Jozef Jágerský,ĽS Naše Slovensko,427
Eva Jaššová,SNS,593
Rudolf Kusý,NEKA,"4,427"
Patrick Lutter,SMER - SD,"1,026"
Vladimír Mikuš,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,817"
Marek Norovský,NOVA,"1,218"
Jaroslav Paška,SNS,"1,073"
Michal Pridala,SMS,232
Ján Šimko,SMS,151
,,
Volebný obvod č. 5,,
 , , 
Milan Andráš,NÁŠ KRAJ,435
Milada Dobrotková,NEKA,"1,016"
Mária Ďuračková,SMS,193
Jozef Házy,NF,438
Ivan Janečka,NF,310
Juraj Lauko,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","2,298"
Tibor Novotka,MS,139
Róbert Pajdlhauser,NOVA,875
Ján Panák,SMER - SD,962
Martina Rovenská,SMER - SD,942
Roman Ruhig,NP,166
Mária Šujancová,NP,147
Anna Zemanová,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","1,711"
,,
Volebný obvod č. 6,,
 , , 
Igor Bendík,"SDKÚ - DS,SZ,OKS,SMK-MKP,SaS,MOST - HÍD,KDH","3,624"
