Bratislavský kraj,554,"563,131","121,928",21.65,"121,877",99.95,"119,422","116,853",44,44
Volebný obvod č. 1,34,"38,981","10,002",25.65,"9,999",99.97,"9,840","9,722",3,3
Volebný obvod č. 2,88,"84,396","18,095",21.44,"18,085",99.94,"17,760","17,243",6,6
Volebný obvod č. 3,19,"19,219","3,831",19.93,"3,830",99.97,"3,719","3,689",2,2
Volebný obvod č. 4,44,"35,281","8,820",24.99,"8,815",99.94,"8,667","8,511",3,3
Volebný obvod č. 5,22,"22,710","5,432",23.91,"5,429",99.94,"5,324","5,201",2,2
Volebný obvod č. 6,42,"45,881","10,834",23.61,"10,831",99.97,"10,694","10,444",4,4
Volebný obvod č. 7,40,"41,465","9,860",23.77,"9,854",99.93,"9,674","9,483",3,3
Volebný obvod č. 8,107,"106,804","20,022",18.74,"20,015",99.96,"19,648","18,985",8,8
Volebný obvod č. 9,29,"33,501","5,709",17.04,"5,703",99.89,"5,496","5,532",3,3
Volebný obvod č. 10,11,"10,936","2,335",21.35,"2,335",100,"2,244","2,249",1,1
Volebný obvod č. 11,14,"14,597","3,199",21.91,"3,199",100,"3,123","3,028",1,1
Volebný obvod č. 12,26,"29,290","5,976",20.4,"5,973",99.94,"5,852","5,806",2,2
Volebný obvod č. 13,11,"12,509","2,617",20.92,"2,617",100,"2,564","2,485",1,1
Volebný obvod č. 14,10,"9,264","2,623",28.31,"2,623",100,"2,519","2,533",1,1
Volebný obvod č. 15,15,"14,452","2,907",20.11,"2,907",100,"2,815","2,805",1,1
Volebný obvod č. 16,16,"12,817","2,722",21.23,"2,722",100,"2,656","2,572",1,1
Volebný obvod č. 17,12,"16,423","3,862",23.51,"3,859",99.92,"3,784","3,658",1,1
Volebný obvod č. 18,14,"14,605","3,082",21.1,"3,081",99.96,"3,043","2,907",1,1
Trnavský kraj,524,"469,160","81,923",17.46,"81,899",99.97,"78,189","79,786",40,40
Volebný obvod č. 1,123,"99,638","21,892",21.97,"21,885",99.96,"21,213","21,465",8,8
Volebný obvod č. 2,83,"80,509","14,438",17.93,"14,436",99.98,"13,892","14,096",7,7
Volebný obvod č. 3,43,"37,402","6,227",16.64,"6,223",99.93,"5,769","6,058",3,3
Volebný obvod č. 4,63,"54,406","7,569",13.91,"7,565",99.94,"7,086","7,407",5,5
Volebný obvod č. 5,52,"49,998","6,145",12.29,"6,144",99.98,"5,744","5,974",5,5
Volebný obvod č. 6,43,"39,145","8,141",20.79,"8,140",99.98,"7,708","7,968",3,3
Volebný obvod č. 7,117,"108,062","17,511",16.2,"17,506",99.97,"16,777","16,818",9,9
Trenčiansky kraj,645,"496,864","86,337",17.37,"86,308",99.96,"81,829","84,015",45,45
Volebný obvod č. 1,62,"30,903","5,425",17.55,"5,425",100,"5,069","5,310",3,3
Volebný obvod č. 2,61,"50,507","8,914",17.64,"8,912",99.97,"8,453","8,695",5,5
Volebný obvod č. 3,32,"23,080","3,336",14.45,"3,334",99.94,"3,104","3,265",2,2
Volebný obvod č. 4,67,"51,904","7,583",14.6,"7,580",99.96,"7,190","7,352",5,5
Volebný obvod č. 5,55,"40,790","6,851",16.79,"6,845",99.91,"6,465","6,728",4,4
Volebný obvod č. 6,68,"52,912","10,444",19.73,"10,439",99.95,"9,850","10,208",5,5
Volebný obvod č. 7,133,"114,528","20,074",17.52,"20,069",99.97,"18,887","19,571",10,10
Volebný obvod č. 8,53,"37,287","6,943",18.62,"6,942",99.98,"6,696","6,716",3,3
Volebný obvod č. 9,114,"94,953","16,767",17.65,"16,762",99.97,"16,115","16,170",8,8
Nitriansky kraj,743,"584,770","104,706",17.9,"104,688",99.98,"100,543","102,053",54,54
Volebný obvod č. 1,108,"88,560","15,088",17.03,"15,088",100,"14,154","14,787",8,8
Volebný obvod č. 2,159,"96,287","15,706",16.31,"15,705",99.99,"15,111","15,353",9,9
Volebný obvod č. 3,156,"137,889","24,190",17.54,"24,184",99.97,"23,596","23,296",13,13
Volebný obvod č. 4,102,"90,547","16,290",17.99,"16,282",99.95,"15,768","15,946",8,8
Volebný obvod č. 5,42,"44,413","7,643",17.2,"7,643",100,"7,243","7,498",4,4
Volebný obvod č. 6,41,"30,632","7,124",23.25,"7,123",99.98,"6,649","6,978",3,3
Volebný obvod č. 7,89,"61,325","9,768",15.92,"9,767",99.98,"9,409","9,524",6,6
Volebný obvod č. 8,46,"35,117","8,897",25.33,"8,896",99.98,"8,613","8,671",3,3
Žilinský kraj,700,"564,208","121,745",21.57,"121,699",99.96,"116,932","118,856",57,57
Volebný obvod č. 1,34,"24,735","5,417",21.9,"5,415",99.96,"5,139","5,290",2,2
Volebný obvod č. 2,80,"73,362","15,784",21.51,"15,781",99.98,"15,278","15,508",8,8
Volebný obvod č. 3,43,"31,533","7,296",23.13,"7,294",99.97,"7,074","7,139",3,3
Volebný obvod č. 4,27,"26,937","7,420",27.54,"7,415",99.93,"7,014","7,284",3,3
Volebný obvod č. 5,96,"60,913","11,921",19.57,"11,918",99.97,"11,349","11,714",6,6
Volebný obvod č. 6,103,"81,036","14,938",18.43,"14,934",99.97,"14,276","14,589",8,8
Volebný obvod č. 7,42,"44,360","10,788",24.31,"10,776",99.88,"10,375","10,631",5,5
Volebný obvod č. 8,58,"48,336","9,834",20.34,"9,832",99.97,"9,342","9,665",5,5
Volebný obvod č. 9,32,"13,711","2,771",20.21,"2,771",100,"2,616","2,645",1,1
Volebný obvod č. 10,31,"27,990","8,438",30.14,"8,432",99.92,"8,098","8,310",3,3
Volebný obvod č. 11,154,"131,295","27,138",20.66,"27,131",99.97,"26,371","26,081",13,13
Banskobystrický kraj,912,"530,301","130,435",24.59,"130,378",99.95,"123,223","126,545",49,49
Volebný obvod č. 1,130,"93,252","23,668",25.38,"23,660",99.96,"22,990","22,954",8,8
Volebný obvod č. 2,24,"13,349","3,416",25.58,"3,416",100,"3,345","3,248",1,1
Volebný obvod č. 3,69,"51,227","11,393",22.24,"11,389",99.96,"10,918","11,051",5,5
Volebný obvod č. 4,47,"26,904","8,170",30.36,"8,163",99.91,"7,807","8,014",3,3
Volebný obvod č. 5,45,"17,994","5,431",30.18,"5,424",99.87,"5,184","5,312",2,2
Volebný obvod č. 6,96,"58,969","13,027",22.09,"13,026",99.99,"12,188","12,657",5,5
Volebný obvod č. 7,38,"18,069","5,843",32.33,"5,840",99.94,"5,356","5,683",2,2
Volebný obvod č. 8,66,"31,488","7,367",23.39,"7,363",99.94,"6,647","7,150",3,3
Volebný obvod č. 9,150,"64,448","16,105",24.98,"16,100",99.96,"14,337","15,614",6,6
Volebný obvod č. 10,85,"36,997","7,022",18.97,"7,020",99.97,"6,504","6,859",3,3
Volebný obvod č. 11,74,"56,700","14,742",26,"14,732",99.93,"14,474","14,086",5,5
Volebný obvod č. 12,33,"21,847","5,197",23.78,"5,196",99.98,"4,919","5,060",2,2
Volebný obvod č. 13,55,"39,057","9,054",23.18,"9,049",99.94,"8,554","8,857",4,4
Prešovský kraj,1003,"630,452","139,525",22.13,"139,422",99.92,"129,145","135,819",62,62
Volebný obvod č. 1,116,"60,206","14,849",24.66,"14,846",99.97,"13,787","14,582",6,6
Volebný obvod č. 2,88,"52,328","11,991",22.91,"11,987",99.96,"11,096","11,736",5,5
Volebný obvod č. 3,64,"50,419","9,438",18.71,"9,435",99.96,"8,271","9,225",5,5
Volebný obvod č. 4,44,"25,213","4,893",19.4,"4,893",100,"4,450","4,788",3,3
Volebný obvod č. 5,30,"9,694","3,478",35.87,"3,477",99.97,"3,291","3,331",1,1
Volebný obvod č. 6,90,"82,841","13,080",15.78,"13,072",99.93,"11,865","12,769",8,8
Volebný obvod č. 7,180,"133,284","29,569",22.18,"29,561",99.97,"28,098","28,471",12,12
Volebný obvod č. 8,61,"42,558","8,114",19.06,"8,110",99.95,"7,663","7,820",4,4
Volebný obvod č. 9,47,"30,811","7,783",25.26,"7,782",99.98,"7,032","7,644",3,3
Volebný obvod č. 10,62,"39,463","9,718",24.62,"9,710",99.91,"8,994","9,518",4,4
Volebný obvod č. 11,52,"16,450","4,473",27.19,"4,473",100,"4,242","4,381",2,2
Volebný obvod č. 12,77,"26,384","8,402",31.84,"8,345",99.32,"7,741","8,193",3,3
Volebný obvod č. 13,92,"60,801","13,737",22.59,"13,731",99.95,"12,615","13,361",6,6
Košický kraj,851,"624,153","110,937",17.77,"110,890",99.95,"99,818","107,835",57,57
Volebný obvod č. 1,57,"57,149","9,460",16.55,"9,451",99.9,"9,096","9,168",5,5
Volebný obvod č. 2,60,"67,410","9,535",14.14,"9,534",99.98,"9,186","9,253",6,6
Volebný obvod č. 3,26,"25,109","2,945",11.72,"2,944",99.96,"2,822","2,872",2,2
Volebný obvod č. 4,54,"48,438","7,571",15.63,"7,566",99.93,"7,311","7,300",4,4
Volebný obvod č. 5,143,"91,693","15,614",17.02,"15,605",99.94,"13,811","15,008",8,8
Volebný obvod č. 6,31,"23,956","4,444",18.55,"4,443",99.97,"3,722","4,285",2,2
Volebný obvod č. 7,129,"87,230","17,960",20.58,"17,954",99.96,"16,240","17,658",8,8
Volebný obvod č. 8,89,"48,606","9,277",19.08,"9,273",99.95,"7,895","9,010",5,5
Volebný obvod č. 9,52,"18,386","6,043",32.86,"6,043",100,"5,377","5,836",2,2
Volebný obvod č. 10,83,"73,391","11,599",15.8,"11,591",99.93,"9,703","11,364",7,7
Volebný obvod č. 11,127,"82,785","16,489",19.91,"16,486",99.98,"14,655","16,081",8,8
 ,,,,,,,,,,
